swap_number,battery_id,datetime,day_of_week,station_id,customer_id,charge_Remaining,provided_battery_id,provided_battery_charge,charging_destination,swap_success
81,475,01/01/2023 3:02,Sunday,5,291,49,814,73,same station,1
82,601,01/01/2023 3:15,Sunday,17,323,50,257,80,solar farm,1
83,476,01/01/2023 3:21,Sunday,12,515,36,918,83,residential area,1
84,660,01/01/2023 3:21,Sunday,3,96,40,54,58,same station,1
85,569,01/01/2023 3:23,Sunday,14,253,20,379,74,same station,1
86,719,01/01/2023 3:25,Sunday,19,550,21,275,56,solar farm,1
87,598,01/01/2023 3:26,Sunday,16,692,57,629,88,same station,1
88,113,01/01/2023 3:32,Sunday,14,255,8,491,62,same station,1
89,750,01/01/2023 3:33,Sunday,6,83,3,764,91,residential area,1
90,687,01/01/2023 3:35,Sunday,20,89,19,488,75,solar farm,1
91,356,01/01/2023 3:41,Sunday,10,456,45,186,94,same station,1
92,573,01/01/2023 3:47,Sunday,13,20,28,250,98,residential area,1
93,424,01/01/2023 3:48,Sunday,1,378,7,319,56,same station,1
94,968,01/01/2023 3:50,Sunday,11,515,60,304,69,same station,1
95,84,01/01/2023 3:50,Sunday,3,137,38,829,85,residential area,1
96,703,01/01/2023 3:52,Sunday,14,286,27,615,88,same station,1
97,308,01/01/2023 3:53,Sunday,15,549,46,546,68,residential area,1
98,510,01/01/2023 3:54,Sunday,4,176,4,20,86,solar farm,1
99,150,01/01/2023 3:57,Sunday,13,451,20,553,76,same station,1
100,55,01/01/2023 4:00,Sunday,4,460,48,949,90,residential area,1
101,881,01/01/2023 4:11,Sunday,10,487,37,591,83,solar farm,1
102,870,01/01/2023 4:15,Sunday,17,251,53,651,62,solar farm,1
103,13,01/01/2023 4:15,Sunday,6,211,56,424,98,residential area,1
104,597,01/01/2023 4:18,Sunday,16,492,5,929,95,residential area,1
105,647,01/01/2023 4:19,Sunday,15,427,36,292,86,residential area,1
106,399,01/01/2023 4:25,Sunday,8,556,6,171,89,solar farm,1
107,51,01/01/2023 4:25,Sunday,5,404,38,447,75,solar farm,1
108,895,01/01/2023 4:28,Sunday,18,477,59,469,84,solar farm,1
109,340,01/01/2023 4:29,Sunday,19,651,26,801,93,same station,1
110,101,01/01/2023 4:29,Sunday,17,354,60,61,90,solar farm,1
111,387,01/01/2023 4:30,Sunday,17,524,7,174,55,solar farm,1
112,421,01/01/2023 4:37,Sunday,10,162,25,839,95,same station,1
113,768,01/01/2023 4:37,Sunday,2,72,55,980,56,residential area,1
114,204,01/01/2023 4:39,Sunday,4,639,37,467,99,residential area,1
115,431,01/01/2023 4:43,Sunday,17,278,49,398,80,residential area,1
116,321,01/01/2023 4:44,Sunday,20,644,39,329,86,residential area,1
117,387,01/01/2023 4:48,Sunday,12,63,15,16,69,same station,1
118,43,01/01/2023 4:53,Sunday,4,663,7,333,74,same station,1
119,222,01/01/2023 4:54,Sunday,6,275,27,459,78,solar farm,1
120,50,01/01/2023 4:56,Sunday,14,376,56,582,69,solar farm,1
121,990,01/01/2023 4:57,Sunday,3,282,7,110,95,same station,1
122,271,01/01/2023 4:58,Sunday,16,385,2,776,80,residential area,1
123,340,01/01/2023 4:59,Sunday,2,193,21,987,58,solar farm,1
124,407,01/01/2023 5:01,Sunday,20,172,39,811,72,residential area,1
125,896,01/01/2023 5:03,Sunday,2,201,48,772,66,same station,1
126,108,01/01/2023 5:06,Sunday,4,85,57,671,65,residential area,1
127,902,01/01/2023 5:11,Sunday,6,449,5,1,62,solar farm,1
128,921,01/01/2023 5:15,Sunday,8,685,27,227,98,residential area,1
129,473,01/01/2023 5:20,Sunday,1,348,11,210,90,residential area,1
130,260,01/01/2023 5:33,Sunday,16,259,27,471,98,same station,1
131,318,01/01/2023 5:36,Sunday,12,683,50,692,95,residential area,1
132,459,01/01/2023 5:42,Sunday,8,209,11,539,82,solar farm,1
133,756,01/01/2023 5:47,Sunday,9,602,32,117,76,solar farm,1
134,15,01/01/2023 5:50,Sunday,4,169,13,130,82,residential area,1
135,680,01/01/2023 5:53,Sunday,10,335,45,464,84,same station,1
136,653,01/01/2023 5:54,Sunday,5,245,7,73,63,solar farm,1
137,126,01/01/2023 5:57,Sunday,16,651,36,436,63,residential area,1
138,275,01/01/2023 5:57,Sunday,9,145,28,762,70,same station,1
139,629,01/01/2023 5:58,Sunday,16,115,8,679,95,same station,1
140,73,01/01/2023 6:02,Sunday,4,583,56,811,92,solar farm,1
141,549,01/01/2023 6:05,Sunday,5,185,5,986,55,residential area,1
142,996,01/01/2023 6:09,Sunday,17,578,56,420,97,solar farm,1
143,472,01/01/2023 6:11,Sunday,17,137,2,137,65,solar farm,1
144,868,01/01/2023 6:17,Sunday,1,19,31,753,71,same station,1
145,136,01/01/2023 6:18,Sunday,17,678,51,46,88,solar farm,1
146,277,01/01/2023 6:18,Sunday,3,402,1,27,93,residential area,1
147,374,01/01/2023 6:21,Sunday,4,451,59,347,73,same station,1
148,657,01/01/2023 6:22,Sunday,9,665,26,984,64,same station,1
149,178,01/01/2023 6:23,Sunday,1,331,18,603,84,residential area,1
150,857,01/01/2023 6:24,Sunday,4,56,10,730,66,same station,1
151,773,01/01/2023 6:24,Sunday,19,346,4,658,84,residential area,1
152,293,01/01/2023 6:25,Sunday,13,11,43,406,96,same station,1
153,801,01/01/2023 6:25,Sunday,13,591,35,703,90,solar farm,1
154,489,01/01/2023 6:27,Sunday,7,412,4,683,80,solar farm,1
155,628,01/01/2023 6:27,Sunday,12,178,36,24,56,residential area,1
156,381,01/01/2023 6:27,Sunday,5,148,14,831,72,solar farm,1
157,546,01/01/2023 6:30,Sunday,10,75,56,360,70,residential area,1
158,648,01/01/2023 6:31,Sunday,5,217,11,970,60,solar farm,1
159,5,01/01/2023 6:33,Sunday,9,604,36,139,67,same station,1
160,637,01/01/2023 6:39,Sunday,7,130,55,984,59,solar farm,1
161,55,01/01/2023 6:40,Sunday,14,35,9,97,65,same station,1
162,491,01/01/2023 6:41,Sunday,6,519,47,14,66,residential area,1
163,986,01/01/2023 6:42,Sunday,16,358,2,272,59,residential area,1
164,923,01/01/2023 6:49,Sunday,5,585,24,601,91,same station,1
165,142,01/01/2023 6:55,Sunday,20,193,26,766,83,solar farm,1
166,647,01/01/2023 6:56,Sunday,10,383,25,309,88,same station,1
167,185,01/01/2023 7:02,Sunday,1,510,38,884,70,same station,1
168,261,01/01/2023 7:03,Sunday,9,425,10,461,80,solar farm,1
169,215,01/01/2023 7:07,Sunday,20,422,42,97,60,solar farm,1
170,130,01/01/2023 7:07,Sunday,17,582,10,763,83,residential area,1
171,364,01/01/2023 7:13,Sunday,5,379,25,170,96,solar farm,1
172,895,01/01/2023 7:13,Sunday,18,629,40,399,69,same station,1
173,268,01/01/2023 7:14,Sunday,7,299,32,460,55,solar farm,1
174,677,01/01/2023 7:16,Sunday,4,681,44,184,89,residential area,1
175,974,01/01/2023 7:17,Sunday,9,629,58,539,72,solar farm,1
176,150,01/01/2023 7:17,Sunday,18,699,49,417,97,solar farm,1
177,761,01/01/2023 7:19,Sunday,16,448,39,87,91,solar farm,1
178,495,01/01/2023 7:25,Sunday,18,453,58,132,96,solar farm,1
179,322,01/01/2023 7:30,Sunday,20,533,8,742,77,same station,1
180,277,01/01/2023 7:37,Sunday,20,291,45,926,59,residential area,1
181,73,01/01/2023 7:38,Sunday,13,135,31,17,87,same station,1
182,54,01/01/2023 7:39,Sunday,7,132,55,218,63,solar farm,1
183,144,01/01/2023 7:42,Sunday,2,394,36,74,85,same station,1
184,370,01/01/2023 7:44,Sunday,8,309,52,680,71,solar farm,1
185,247,01/01/2023 7:47,Sunday,6,540,36,738,85,same station,1
186,833,01/01/2023 7:47,Sunday,6,355,43,176,88,same station,1
187,592,01/01/2023 7:51,Sunday,9,436,17,256,85,residential area,1
188,498,01/01/2023 7:55,Sunday,10,301,55,117,91,solar farm,1
189,133,01/01/2023 7:56,Sunday,10,139,29,430,67,same station,1
190,281,01/01/2023 7:58,Sunday,2,631,2,802,77,solar farm,1
191,265,01/01/2023 8:06,Sunday,18,420,18,584,84,same station,1
192,752,01/01/2023 8:13,Sunday,10,441,54,126,80,residential area,1
193,571,01/01/2023 8:13,Sunday,18,315,47,787,84,same station,1
194,248,01/01/2023 8:16,Sunday,12,582,45,259,71,same station,1
195,133,01/01/2023 8:23,Sunday,15,373,16,268,55,solar farm,1
196,575,01/01/2023 8:36,Sunday,9,145,60,532,68,same station,1
197,97,01/01/2023 8:37,Sunday,16,649,41,277,68,residential area,1
198,471,01/01/2023 8:39,Sunday,7,35,51,489,95,residential area,1
199,635,01/01/2023 8:41,Sunday,19,504,46,735,77,residential area,1
200,735,01/01/2023 8:42,Sunday,16,130,36,874,64,residential area,1
201,588,01/01/2023 8:50,Sunday,5,572,34,178,56,solar farm,1
202,219,01/01/2023 8:51,Sunday,3,565,33,307,88,residential area,1
203,142,01/01/2023 8:53,Sunday,11,177,24,693,80,same station,1
204,698,01/01/2023 9:02,Sunday,8,70,6,169,65,residential area,1
205,932,01/01/2023 9:04,Sunday,19,148,52,914,98,solar farm,1
206,230,01/01/2023 9:04,Sunday,9,432,38,882,74,solar farm,1
207,423,01/01/2023 9:06,Sunday,6,79,58,320,98,solar farm,1
208,546,01/01/2023 9:06,Sunday,3,506,4,634,90,same station,1
209,531,01/01/2023 9:07,Sunday,8,595,26,518,92,residential area,1
210,111,01/01/2023 9:13,Sunday,2,482,48,947,58,same station,1
211,475,01/01/2023 9:18,Sunday,16,633,33,31,97,same station,1
212,861,01/01/2023 9:19,Sunday,6,150,33,958,80,same station,1
213,58,01/01/2023 9:23,Sunday,1,522,8,49,57,solar farm,1
214,286,01/01/2023 9:29,Sunday,10,700,47,392,68,same station,1
215,897,01/01/2023 9:33,Sunday,5,256,27,943,88,solar farm,1
216,977,01/01/2023 9:42,Sunday,7,296,7,747,83,residential area,1
217,709,01/01/2023 9:43,Sunday,13,523,40,383,98,same station,1
218,965,01/01/2023 9:46,Sunday,13,640,53,319,57,solar farm,1
219,877,01/01/2023 9:51,Sunday,19,405,39,872,71,same station,1
220,697,01/01/2023 9:55,Sunday,7,298,52,435,55,residential area,1
221,418,01/01/2023 10:01,Sunday,4,30,26,328,93,residential area,1
222,685,01/01/2023 10:02,Sunday,15,210,29,911,84,solar farm,1
223,694,01/01/2023 10:03,Sunday,6,639,13,476,60,same station,1
224,384,01/01/2023 10:06,Sunday,10,301,60,253,98,same station,1
225,935,01/01/2023 10:08,Sunday,18,123,16,108,88,solar farm,1
226,827,01/01/2023 10:15,Sunday,9,289,6,283,66,solar farm,1
227,720,01/01/2023 10:19,Sunday,20,575,36,664,69,residential area,1
228,980,01/01/2023 10:21,Sunday,18,392,36,290,84,residential area,1
229,699,01/01/2023 10:22,Sunday,6,406,54,943,71,residential area,1
230,322,01/01/2023 10:26,Sunday,15,507,12,731,69,residential area,1
231,330,01/01/2023 10:29,Sunday,12,536,39,888,58,residential area,1
232,512,01/01/2023 10:31,Sunday,3,569,54,887,56,residential area,1
233,808,01/01/2023 10:31,Sunday,20,593,26,525,72,solar farm,1
234,901,01/01/2023 10:33,Sunday,10,100,39,246,80,residential area,1
235,358,01/01/2023 10:36,Sunday,16,430,8,464,77,same station,1
236,22,01/01/2023 10:39,Sunday,18,607,51,146,69,same station,1
237,406,01/01/2023 10:40,Sunday,17,361,33,845,97,solar farm,1
238,16,01/01/2023 10:44,Sunday,7,526,23,214,78,same station,1
239,583,01/01/2023 10:48,Sunday,17,557,39,865,96,same station,1
240,971,01/01/2023 10:57,Sunday,17,354,20,323,97,residential area,1
241,103,01/01/2023 10:58,Sunday,20,511,36,713,64,solar farm,1
242,83,01/01/2023 11:04,Sunday,7,186,59,321,86,solar farm,1
243,683,01/01/2023 11:08,Sunday,10,469,20,757,88,solar farm,1
244,620,01/01/2023 11:09,Sunday,3,411,49,608,69,solar farm,1
245,542,01/01/2023 11:11,Sunday,15,67,58,165,96,solar farm,1
246,429,01/01/2023 11:11,Sunday,6,358,23,122,98,solar farm,1
247,892,01/01/2023 11:11,Sunday,19,154,43,432,61,solar farm,1
248,289,01/01/2023 11:13,Sunday,16,586,26,472,70,same station,1
249,24,01/01/2023 11:14,Sunday,6,184,60,96,61,same station,1
250,74,01/01/2023 11:17,Sunday,10,431,19,740,77,same station,1
251,961,01/01/2023 11:17,Sunday,20,440,50,854,68,solar farm,1
252,638,01/01/2023 11:26,Sunday,6,563,9,878,86,solar farm,1
253,104,01/01/2023 11:26,Sunday,18,552,42,403,59,same station,1
254,631,01/01/2023 11:27,Sunday,2,180,56,716,83,same station,1
255,477,01/01/2023 11:28,Sunday,9,513,32,587,94,solar farm,1
256,599,01/01/2023 11:31,Sunday,10,642,56,506,74,residential area,1
257,449,01/01/2023 11:33,Sunday,10,480,29,737,64,residential area,1
258,660,01/01/2023 11:33,Sunday,3,574,31,266,77,same station,1
259,953,01/01/2023 11:34,Sunday,17,157,43,645,96,same station,1
260,230,01/01/2023 11:35,Sunday,12,265,12,597,74,residential area,1
261,664,01/01/2023 11:39,Sunday,16,572,57,932,69,same station,1
262,340,01/01/2023 11:41,Sunday,6,341,39,163,63,same station,1
263,753,01/01/2023 11:43,Sunday,14,260,51,21,65,same station,1
264,75,01/01/2023 11:43,Sunday,17,410,60,84,86,solar farm,1
265,620,01/01/2023 11:44,Sunday,8,688,57,803,72,solar farm,1
266,463,01/01/2023 11:45,Sunday,14,492,56,696,76,residential area,1
267,514,01/01/2023 11:47,Sunday,2,13,43,658,88,solar farm,1
268,207,01/01/2023 11:49,Sunday,7,429,45,125,55,solar farm,1
269,684,01/01/2023 11:54,Sunday,3,283,4,265,56,solar farm,1
270,766,01/01/2023 11:57,Sunday,11,558,3,43,89,solar farm,1
271,841,01/01/2023 12:04,Sunday,6,240,40,671,74,residential area,1
272,558,01/01/2023 12:13,Sunday,12,348,47,186,85,solar farm,1
273,842,01/01/2023 12:14,Sunday,10,334,60,498,92,same station,1
274,44,01/01/2023 12:15,Sunday,17,30,21,150,98,solar farm,1
275,704,01/01/2023 12:20,Sunday,7,307,21,518,64,residential area,1
276,711,01/01/2023 12:22,Sunday,13,26,39,471,98,solar farm,1
277,874,01/01/2023 12:25,Sunday,15,43,7,834,68,residential area,1
278,561,01/01/2023 12:28,Sunday,10,487,38,813,74,solar farm,1
279,681,01/01/2023 12:29,Sunday,1,270,13,58,77,residential area,1
280,378,01/01/2023 12:30,Sunday,7,342,3,471,74,residential area,1
281,536,01/01/2023 12:31,Sunday,11,670,38,288,72,solar farm,1
282,249,01/01/2023 12:32,Sunday,7,297,2,760,73,residential area,1
283,872,01/01/2023 12:36,Sunday,5,13,35,112,82,residential area,1
284,293,01/01/2023 12:40,Sunday,1,202,27,37,68,same station,1
285,579,01/01/2023 12:41,Sunday,17,488,24,500,62,residential area,1
286,89,01/01/2023 12:43,Sunday,6,525,22,677,60,same station,1
287,265,01/01/2023 12:46,Sunday,9,158,35,662,78,same station,1
288,131,01/01/2023 12:52,Sunday,16,53,2,761,84,solar farm,1
289,150,01/01/2023 12:54,Sunday,2,508,38,684,93,same station,1
290,916,01/01/2023 12:57,Sunday,9,595,26,485,96,residential area,1
291,121,01/01/2023 12:57,Sunday,4,486,52,686,89,residential area,1
292,803,01/01/2023 12:58,Sunday,20,420,6,962,85,same station,1
293,275,01/01/2023 13:02,Sunday,10,415,35,645,68,solar farm,1
294,691,01/01/2023 13:04,Sunday,7,268,55,977,76,solar farm,1
295,179,01/01/2023 13:11,Sunday,13,641,13,146,84,same station,1
296,645,01/01/2023 13:13,Sunday,8,283,12,999,69,residential area,1
297,425,01/01/2023 13:23,Sunday,17,40,57,816,93,residential area,1
298,153,01/01/2023 13:25,Sunday,11,199,37,576,89,residential area,1
299,503,01/01/2023 13:28,Sunday,15,60,25,646,77,same station,1
300,977,01/01/2023 13:31,Sunday,11,611,12,645,57,same station,1
301,368,01/01/2023 13:35,Sunday,10,85,16,259,66,same station,1
302,690,01/01/2023 13:38,Sunday,3,3,53,558,89,solar farm,1
303,427,01/01/2023 13:41,Sunday,13,120,50,51,83,residential area,1
304,665,01/01/2023 13:51,Sunday,1,55,50,391,80,same station,1
305,519,01/01/2023 13:53,Sunday,14,6,21,1000,92,solar farm,1
306,617,01/01/2023 13:53,Sunday,15,580,47,310,73,same station,1
307,503,01/01/2023 13:55,Sunday,2,429,44,580,77,solar farm,1
308,942,01/01/2023 13:56,Sunday,9,157,28,59,97,same station,1
309,782,01/01/2023 13:58,Sunday,14,463,48,345,86,solar farm,1
310,754,01/01/2023 13:58,Sunday,5,66,19,860,85,same station,1
311,757,01/01/2023 14:03,Sunday,8,332,22,646,63,same station,1
312,33,01/01/2023 14:08,Sunday,6,102,9,908,74,solar farm,1
313,551,01/01/2023 14:12,Sunday,11,151,13,279,74,residential area,1
314,284,01/01/2023 14:12,Sunday,18,50,41,33,55,residential area,1
315,581,01/01/2023 14:14,Sunday,2,103,51,502,61,residential area,1
316,904,01/01/2023 14:15,Sunday,13,64,44,782,62,residential area,1
317,707,01/01/2023 14:17,Sunday,3,52,27,769,61,solar farm,1
318,417,01/01/2023 14:19,Sunday,6,344,29,268,72,residential area,1
319,234,01/01/2023 14:21,Sunday,8,611,38,40,74,same station,1
320,481,01/01/2023 14:24,Sunday,3,175,38,563,82,residential area,1
321,314,01/01/2023 14:24,Sunday,9,426,4,222,77,residential area,1
322,580,01/01/2023 14:26,Sunday,12,173,31,666,67,solar farm,1
323,372,01/01/2023 14:27,Sunday,16,132,59,716,55,same station,0
324,846,01/01/2023 14:28,Sunday,12,414,22,862,61,solar farm,1
325,602,01/01/2023 14:34,Sunday,1,92,1,53,70,residential area,1
326,758,01/01/2023 14:35,Sunday,11,524,41,890,83,solar farm,1
327,100,01/01/2023 14:35,Sunday,8,86,11,762,94,solar farm,1
328,141,01/01/2023 14:40,Sunday,1,425,48,701,74,residential area,1
329,737,01/01/2023 14:43,Sunday,19,40,37,296,56,solar farm,1
330,545,01/01/2023 14:43,Sunday,8,187,14,15,58,same station,1
331,817,01/01/2023 14:44,Sunday,20,541,58,309,70,solar farm,1
332,854,01/01/2023 14:47,Sunday,20,302,46,390,62,solar farm,1
333,174,01/01/2023 14:51,Sunday,6,432,3,159,93,same station,1
334,157,01/01/2023 14:57,Sunday,12,237,35,635,59,solar farm,1
335,140,01/01/2023 14:59,Sunday,18,153,18,856,93,solar farm,1
336,908,01/01/2023 15:01,Sunday,2,184,21,29,64,residential area,1
337,367,01/01/2023 15:02,Sunday,11,93,44,168,62,solar farm,1
338,333,01/01/2023 15:02,Sunday,16,133,20,977,98,residential area,1
339,400,01/01/2023 15:07,Sunday,15,400,14,730,84,residential area,1
340,871,01/01/2023 15:08,Sunday,13,206,58,897,81,solar farm,1
341,978,01/01/2023 15:09,Sunday,3,7,1,51,95,residential area,1
342,292,01/01/2023 15:12,Sunday,2,365,35,199,92,residential area,1
343,774,01/01/2023 15:18,Sunday,10,379,39,789,93,solar farm,1
344,837,01/01/2023 15:21,Sunday,13,654,8,758,55,residential area,1
345,575,01/01/2023 15:21,Sunday,18,344,36,730,93,solar farm,1
346,33,01/01/2023 15:25,Sunday,16,186,21,589,69,residential area,1
347,530,01/01/2023 15:27,Sunday,1,601,22,856,73,residential area,1
348,891,01/01/2023 15:27,Sunday,1,458,33,57,87,residential area,1
349,216,01/01/2023 15:32,Sunday,18,202,6,49,89,residential area,1
350,707,01/01/2023 15:34,Sunday,8,605,37,239,72,residential area,1
351,950,01/01/2023 15:36,Sunday,18,677,30,73,77,solar farm,1
352,96,01/01/2023 15:36,Sunday,19,38,28,461,81,same station,1
353,398,01/01/2023 15:43,Sunday,3,666,39,366,56,same station,1
354,641,01/01/2023 15:46,Sunday,8,41,36,568,93,solar farm,1
355,248,01/01/2023 15:51,Sunday,5,663,53,334,68,residential area,1
356,675,01/01/2023 15:56,Sunday,3,581,32,955,99,same station,1
357,246,01/01/2023 15:57,Sunday,8,673,58,26,84,residential area,1
358,158,01/01/2023 15:58,Sunday,1,601,3,103,64,same station,1
359,388,01/01/2023 15:59,Sunday,7,271,33,72,60,same station,1
360,806,01/01/2023 16:01,Sunday,18,265,31,581,58,solar farm,1
361,405,01/01/2023 16:03,Sunday,7,306,28,249,79,solar farm,1
362,76,01/01/2023 16:03,Sunday,1,20,56,729,59,same station,1
363,794,01/01/2023 16:05,Sunday,7,650,33,417,74,solar farm,1
364,530,01/01/2023 16:06,Sunday,19,130,23,763,62,residential area,1
365,39,01/01/2023 16:09,Sunday,2,311,47,911,90,residential area,1
366,842,01/01/2023 16:09,Sunday,4,185,60,933,89,residential area,1
367,51,01/01/2023 16:15,Sunday,19,483,48,394,98,solar farm,1
368,565,01/01/2023 16:18,Sunday,11,662,14,711,55,same station,1
369,186,01/01/2023 16:19,Sunday,15,118,15,549,96,residential area,1
370,265,01/01/2023 16:21,Sunday,15,395,33,963,60,residential area,1
371,359,01/01/2023 16:24,Sunday,12,412,44,907,92,residential area,1
372,911,01/01/2023 16:25,Sunday,7,125,59,750,72,residential area,1
373,456,01/01/2023 16:25,Sunday,19,563,5,233,63,same station,1
374,967,01/01/2023 16:26,Sunday,14,349,36,42,72,solar farm,1
375,632,01/01/2023 16:30,Sunday,12,117,37,27,95,residential area,1
376,604,01/01/2023 16:34,Sunday,8,665,46,973,61,same station,1
377,887,01/01/2023 16:41,Sunday,17,200,49,557,95,residential area,1
378,335,01/01/2023 16:41,Sunday,5,341,58,466,94,residential area,1
379,299,01/01/2023 16:44,Sunday,18,352,42,114,91,same station,1
380,226,01/01/2023 16:47,Sunday,19,58,17,890,78,same station,1
381,783,01/01/2023 16:52,Sunday,15,47,46,474,82,residential area,1
382,210,01/01/2023 16:53,Sunday,10,230,60,114,58,solar farm,0
383,74,01/01/2023 16:56,Sunday,9,241,8,424,83,same station,1
384,864,01/01/2023 16:56,Sunday,8,242,58,28,77,same station,1
